alba_name,sub_code,context
일반음식점,1010,"조리사 및 주방장은 예민한 미각이 필요하며 새로운 음식 메뉴를 개발하기 위해 진취적이고 창의적인 사람에게 적합하다. 오랜 시간 서서 일해야 하기 때문에 이를 견딜 수 있는 인내심과 끈기, 체력이 요구된다. 주방에서 여럿이 같이 조리하는 경우가 많아 협동심이 필요하고, 또 고객에 대한 서비스 정신이 필요하다. 예술형과 탐구형의 흥미를 가진 사람에게 적합하다.무엇보다 설거지, 청소, 음식재료 다듬기 등의 힘든 일을 잘 견디어낼 수 있는 인내심과 끈기, 강인한 체력이 요구된다. 평소 음식 만들기를 좋아하고 미각이 발달한 사람에게 적합하다. 현실형과 예술형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 신뢰성, 적응력 등의 성격을 가진 사람들에게 유리하다.제품이나 서비스의 대한 정확한 가격을 파악하여 고객에게 정확하고 신속하게 금액을 징수하고 거스름돈을 준비할 수 있는 계산능력이 요구된다. 고객에 대한 서비스 정신과 적극성, 친절함 등이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 사회성 등의 성격을 가진 사람들에게 유리하다."
레스토랑,1020,"각종 와인의 종류와 맛, 음식과의 궁합에 대해 알고 있어야 하며, 이를 위해 포도의 품종, 숙성방법, 원산지, 수확연도 등 와인의 특징과 보관방법에 대한 풍부한 지식이 요구된다. 와인을 서비스하는데 필요한 기본적인 기물이나 장비들을 자유롭게 사용할 수 있어야 하며, 고객이 편안하게 와인을 즐길 수 있도록 하는 고객 서비스 정신이 요구된다. 와인을 좋아해야하며, 계속해서 변화하는 와인의 세계적 흐름을 파악하고 이에 대해 공부하는 자세가 필요하다.조리사 및 주방장은 예민한 미각이 필요하며 새로운 음식 메뉴를 개발하기 위해 진취적이고 창의적인 사람에게 적합하다. 오랜 시간 서서 일해야 하기 때문에 이를 견딜 수 있는 인내심과 끈기, 체력이 요구된다. 주방에서 여럿이 같이 조리하는 경우가 많아 협동심이 필요하고, 또 고객에 대한 서비스 정신이 필요하다. 예술형과 탐구형의 흥미를 가진 사람에게 적합하다.요리에 대한 전문적 지식과 요리능력, 기본적인 테이블 매너, 음식과 소품의 장식 능력, 음식의 다양한 물리적, 화학적 변화에 대한 지식과 이해가 요구된다. 또한 미적감각과 색채감각 역시 갖추고 있으면 유리하다. 요리와 가장 잘 어울리는 그릇과 소품 등을 찾아낼 수 있는 안목과 상황에 따라 쉽게 변할 수 있는 촬영 조건에 유연하게 대처할 수 있는 재빠른 판단능력과 대처능력이 요구된다. 꾸준한 조사와 연구를 통해 새로운 아이디어를 제시할 수 있어야 한다.정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다."
패밀리레스토랑,1030,"각종 와인의 종류와 맛, 음식과의 궁합에 대해 알고 있어야 하며, 이를 위해 포도의 품종, 숙성방법, 원산지, 수확연도 등 와인의 특징과 보관방법에 대한 풍부한 지식이 요구된다. 와인을 서비스하는데 필요한 기본적인 기물이나 장비들을 자유롭게 사용할 수 있어야 하며, 고객이 편안하게 와인을 즐길 수 있도록 하는 고객 서비스 정신이 요구된다. 와인을 좋아해야하며, 계속해서 변화하는 와인의 세계적 흐름을 파악하고 이에 대해 공부하는 자세가 필요하다.요리에 대한 전문적 지식과 요리능력, 기본적인 테이블 매너, 음식과 소품의 장식 능력, 음식의 다양한 물리적, 화학적 변화에 대한 지식과 이해가 요구된다. 또한 미적감각과 색채감각 역시 갖추고 있으면 유리하다. 요리와 가장 잘 어울리는 그릇과 소품 등을 찾아낼 수 있는 안목과 상황에 따라 쉽게 변할 수 있는 촬영 조건에 유연하게 대처할 수 있는 재빠른 판단능력과 대처능력이 요구된다. 꾸준한 조사와 연구를 통해 새로운 아이디어를 제시할 수 있어야 한다.정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다."
패스트푸드점,1040,"무엇보다 설거지, 청소, 음식재료 다듬기 등의 힘든 일을 잘 견디어낼 수 있는 인내심과 끈기, 강인한 체력이 요구된다. 평소 음식 만들기를 좋아하고 미각이 발달한 사람에게 적합하다. 현실형과 예술형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 신뢰성, 적응력 등의 성격을 가진 사람들에게 유리하다.정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다.제품이나 서비스의 대한 정확한 가격을 파악하여 고객에게 정확하고 신속하게 금액을 징수하고 거스름돈을 준비할 수 있는 계산능력이 요구된다. 고객에 대한 서비스 정신과 적극성, 친절함 등이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 사회성 등의 성격을 가진 사람들에게 유리하다."
치킨ㆍ피자전문점,1050,"무엇보다 설거지, 청소, 음식재료 다듬기 등의 힘든 일을 잘 견디어낼 수 있는 인내심과 끈기, 강인한 체력이 요구된다. 평소 음식 만들기를 좋아하고 미각이 발달한 사람에게 적합하다. 현실형과 예술형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 신뢰성, 적응력 등의 성격을 가진 사람들에게 유리하다.정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다.제품이나 서비스의 대한 정확한 가격을 파악하여 고객에게 정확하고 신속하게 금액을 징수하고 거스름돈을 준비할 수 있는 계산능력이 요구된다. 고객에 대한 서비스 정신과 적극성, 친절함 등이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 사회성 등의 성격을 가진 사람들에게 유리하다."
커피전문점,1060,"각종 커피의 종류와 맛 그리고 향에 대해 알고 있어야 하며, 커피기계를 활용하여 커피를 만들어낼 수 있는 능력이 요구된다. 고객의 기호를 파악하여 맛을 창조할 수 있는 능력이 필요하다. 새로운 커피 음료를 개발하기 위해 끊임없이 탐구하는 자세가 필요하며, 고객이 편안하게 커피를 즐길 수 있도록 하는 고객 서비스 정신이 요구된다.정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다.제품이나 서비스의 대한 정확한 가격을 파악하여 고객에게 정확하고 신속하게 금액을 징수하고 거스름돈을 준비할 수 있는 계산능력이 요구된다. 고객에 대한 서비스 정신과 적극성, 친절함 등이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 사회성 등의 성격을 가진 사람들에게 유리하다."
아이스크림ㆍ디저트,1070,"정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다.각종 커피의 종류와 맛 그리고 향에 대해 알고 있어야 하며, 커피기계를 활용하여 커피를 만들어낼 수 있는 능력이 요구된다. 고객의 기호를 파악하여 맛을 창조할 수 있는 능력이 필요하다. 새로운 커피 음료를 개발하기 위해 끊임없이 탐구하는 자세가 필요하며, 고객이 편안하게 커피를 즐길 수 있도록 하는 고객 서비스 정신이 요구된다.제품이나 서비스의 대한 정확한 가격을 파악하여 고객에게 정확하고 신속하게 금액을 징수하고 거스름돈을 준비할 수 있는 계산능력이 요구된다. 고객에 대한 서비스 정신과 적극성, 친절함 등이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 사회성 등의 성격을 가진 사람들에게 유리하다."
베이커리ㆍ도넛ㆍ떡,1080,"제과사 및 제빵사는 예민한 미각과 아름다운 제품을 만들기 위한 미적 감각이 필요하며 새로운 빵, 과자 등을 개발할 수 있는 창의력을 갖추어야 한다. 정교한 손놀림, 꼼꼼함을 갖추면 유리하며, 장시간 서서 작업하기 때문에 체력과 인내심이 있어야 한다. 예술형과 탐구형의 흥미를 가진 사람에게 적합하며, 혁신, 사회성, 리더십 등의 성격을 가진 사람들에게 유리하다.제품이나 서비스의 대한 정확한 가격을 파악하여 고객에게 정확하고 신속하게 금액을 징수하고 거스름돈을 준비할 수 있는 계산능력이 요구된다. 고객에 대한 서비스 정신과 적극성, 친절함 등이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 정직, 남에 대한 배려, 사회성 등의 성격을 가진 사람들에게 유리하다."
호프ㆍ일반주점,1090,"정확하게 고객의 주문을 받고 주방에 고객의 식사 주문 정보를 정확하게 전달할 수 있는 능력과 고객의 불편 사항들을 유연하게 조정할 수 있는 고객 서비스 정신이 요구된다. 다양한 사람들을 만나고 응대해야하므로 적극적이고 활동적인 사람에게 적합하다. 장시간 동안 서있거나 무거운 접시들을 나르고 정리해야 하므로 강인한 체력이 요구된다. 사회형과 관습형의 흥미를 가진 사람에게 적합하며, 남에 대한 배려, 적응력, 융통성, 사회성 등이 요구된다.바텐더는 미각이 뛰어나야 하며 항상 새로운 것을 만들어내려고 하는 실험정신이 필요하며 춤, 노래, 손재주 등 엔터테이너적인 자질과 능력이 요구된다. 낮과 밤이 바뀐 생활을 하므로 체력적으로 건강해야 하고 고객과의 지속적인 대화를 이끌어 낼 수 있는 친절함과 서비스 정신이 요구된다. 예술형과 현실형의 흥미를 가진 사람에게 적합하며, 사회성, 남에 대한 배려, 자기통제 능력, 적응력 등의 성격을 가진 사람들에게 유리하다.영양사는 음식과 건강에 대한 전문적인 지식이 필요하며 조리법이나 음식메뉴를 개발하는 경우 분석적 사고 능력이 요구된다. 함께 근무하는 조리사 및 기타 종사자들과 원활한 의사소통이 가능해야 하며, 식단 및 소요 경비를 계획하거나 식품의 영양적 요건을 계산해야 하므로 꼼꼼함이 요구된다. 관습형과 현실형의 흥미를 가진 사람에게 적합하며, 리더십, 정직성, 꼼꼼함 등의 성격을 가진 사람들에게 유리하다."
바(bar),1100,
